,Topic,Date,Time,Amps,datetime
170841,meduk2/capstone/power1,4/27/2023,0:00:00,1.11,2023-04-27 00:00:00
170842,meduk2/capstone/power1,4/27/2023,0:00:01,1.5,2023-04-27 00:00:01
170843,meduk2/capstone/power1,4/27/2023,0:00:02,1.15,2023-04-27 00:00:02
170844,meduk2/capstone/power1,4/27/2023,0:00:03,1.19,2023-04-27 00:00:03
170845,meduk2/capstone/power1,4/27/2023,0:00:04,1.11,2023-04-27 00:00:04
170846,meduk2/capstone/power1,4/27/2023,0:00:06,1.22,2023-04-27 00:00:06
170847,meduk2/capstone/power1,4/27/2023,0:00:07,1.12,2023-04-27 00:00:07
170848,meduk2/capstone/power1,4/27/2023,0:00:08,1.15,2023-04-27 00:00:08
170849,meduk2/capstone/power1,4/27/2023,0:00:09,1.13,2023-04-27 00:00:09
170850,meduk2/capstone/power1,4/27/2023,0:00:10,1.14,2023-04-27 00:00:10
170851,meduk2/capstone/power1,4/27/2023,0:00:11,1.27,2023-04-27 00:00:11
170852,meduk2/capstone/power1,4/27/2023,0:00:12,1.07,2023-04-27 00:00:12
170853,meduk2/capstone/power1,4/27/2023,0:00:13,1.19,2023-04-27 00:00:13
170854,meduk2/capstone/power1,4/27/2023,0:00:15,1.12,2023-04-27 00:00:15
170855,meduk2/capstone/power1,4/27/2023,0:00:16,1.14,2023-04-27 00:00:16
170856,meduk2/capstone/power1,4/27/2023,0:00:17,1.31,2023-04-27 00:00:17
170857,meduk2/capstone/power1,4/27/2023,0:00:18,1.14,2023-04-27 00:00:18
170858,meduk2/capstone/power1,4/27/2023,0:00:19,1.14,2023-04-27 00:00:19
170859,meduk2/capstone/power1,4/27/2023,0:00:20,1.16,2023-04-27 00:00:20
170860,meduk2/capstone/power1,4/27/2023,0:00:21,1.25,2023-04-27 00:00:21
170861,meduk2/capstone/power1,4/27/2023,0:00:23,1.2,2023-04-27 00:00:23
170862,meduk2/capstone/power1,4/27/2023,0:00:24,1.11,2023-04-27 00:00:24
170863,meduk2/capstone/power1,4/27/2023,0:00:25,1.1,2023-04-27 00:00:25
170864,meduk2/capstone/power1,4/27/2023,0:00:26,1.17,2023-04-27 00:00:26
170865,meduk2/capstone/power1,4/27/2023,0:00:27,1.31,2023-04-27 00:00:27
170866,meduk2/capstone/power1,4/27/2023,0:00:28,1.11,2023-04-27 00:00:28
170867,meduk2/capstone/power1,4/27/2023,0:00:29,1.37,2023-04-27 00:00:29
170868,meduk2/capstone/power1,4/27/2023,0:00:30,1.09,2023-04-27 00:00:30
170869,meduk2/capstone/power1,4/27/2023,0:00:32,1.15,2023-04-27 00:00:32
170870,meduk2/capstone/power1,4/27/2023,0:00:33,1.17,2023-04-27 00:00:33
170871,meduk2/capstone/power1,4/27/2023,0:00:34,1.11,2023-04-27 00:00:34
170872,meduk2/capstone/power1,4/27/2023,0:00:35,1.24,2023-04-27 00:00:35
170873,meduk2/capstone/power1,4/27/2023,0:00:36,1.17,2023-04-27 00:00:36
170874,meduk2/capstone/power1,4/27/2023,0:00:37,1.14,2023-04-27 00:00:37
170875,meduk2/capstone/power1,4/27/2023,0:00:38,1.21,2023-04-27 00:00:38
170876,meduk2/capstone/power1,4/27/2023,0:00:40,1.11,2023-04-27 00:00:40
170877,meduk2/capstone/power1,4/27/2023,0:00:41,1.17,2023-04-27 00:00:41
170878,meduk2/capstone/power1,4/27/2023,0:00:42,1.16,2023-04-27 00:00:42
170879,meduk2/capstone/power1,4/27/2023,0:00:43,1.21,2023-04-27 00:00:43
170880,meduk2/capstone/power1,4/27/2023,0:00:44,1.32,2023-04-27 00:00:44
170881,meduk2/capstone/power1,4/27/2023,0:00:45,1.14,2023-04-27 00:00:45
170882,meduk2/capstone/power1,4/27/2023,0:00:46,1.25,2023-04-27 00:00:46
170883,meduk2/capstone/power1,4/27/2023,0:00:47,1.17,2023-04-27 00:00:47
170884,meduk2/capstone/power1,4/27/2023,0:00:49,1.16,2023-04-27 00:00:49
170885,meduk2/capstone/power1,4/27/2023,0:00:50,1.12,2023-04-27 00:00:50
170886,meduk2/capstone/power1,4/27/2023,0:00:51,1.13,2023-04-27 00:00:51
170887,meduk2/capstone/power1,4/27/2023,0:00:52,1.17,2023-04-27 00:00:52
170888,meduk2/capstone/power1,4/27/2023,0:00:53,1.17,2023-04-27 00:00:53
170889,meduk2/capstone/power1,4/27/2023,0:00:54,1.13,2023-04-27 00:00:54
170890,meduk2/capstone/power1,4/27/2023,0:00:55,1.22,2023-04-27 00:00:55
170891,meduk2/capstone/power1,4/27/2023,0:00:56,1.15,2023-04-27 00:00:56
170892,meduk2/capstone/power1,4/27/2023,0:00:58,1.09,2023-04-27 00:00:58
170893,meduk2/capstone/power1,4/27/2023,0:00:59,1.28,2023-04-27 00:00:59
170894,meduk2/capstone/power1,4/27/2023,0:01:00,1.24,2023-04-27 00:01:00
170895,meduk2/capstone/power1,4/27/2023,0:01:01,1.36,2023-04-27 00:01:01
170896,meduk2/capstone/power1,4/27/2023,0:01:02,1.16,2023-04-27 00:01:02
170897,meduk2/capstone/power1,4/27/2023,0:01:03,1.25,2023-04-27 00:01:03
170898,meduk2/capstone/power1,4/27/2023,0:01:04,1.13,2023-04-27 00:01:04
170899,meduk2/capstone/power1,4/27/2023,0:01:06,1.31,2023-04-27 00:01:06
170900,meduk2/capstone/power1,4/27/2023,0:01:07,1.15,2023-04-27 00:01:07
170901,meduk2/capstone/power1,4/27/2023,0:01:08,1.13,2023-04-27 00:01:08
170902,meduk2/capstone/power1,4/27/2023,0:01:09,1.31,2023-04-27 00:01:09
170903,meduk2/capstone/power1,4/27/2023,0:01:10,1.21,2023-04-27 00:01:10
170904,meduk2/capstone/power1,4/27/2023,0:01:11,1.24,2023-04-27 00:01:11
170905,meduk2/capstone/power1,4/27/2023,0:01:12,1.21,2023-04-27 00:01:12
170906,meduk2/capstone/power1,4/27/2023,0:01:13,1.11,2023-04-27 00:01:13
170907,meduk2/capstone/power1,4/27/2023,0:01:15,1.12,2023-04-27 00:01:15
170908,meduk2/capstone/power1,4/27/2023,0:01:16,1.2,2023-04-27 00:01:16
170909,meduk2/capstone/power1,4/27/2023,0:01:17,1.1,2023-04-27 00:01:17
170910,meduk2/capstone/power1,4/27/2023,0:01:18,1.14,2023-04-27 00:01:18
170911,meduk2/capstone/power1,4/27/2023,0:01:19,1.12,2023-04-27 00:01:19
170912,meduk2/capstone/power1,4/27/2023,0:01:20,1.14,2023-04-27 00:01:20
170913,meduk2/capstone/power1,4/27/2023,0:01:21,1.19,2023-04-27 00:01:21
170914,meduk2/capstone/power1,4/27/2023,0:01:22,1.11,2023-04-27 00:01:22
170915,meduk2/capstone/power1,4/27/2023,0:01:24,1.14,2023-04-27 00:01:24
170916,meduk2/capstone/power1,4/27/2023,0:01:25,1.13,2023-04-27 00:01:25
170917,meduk2/capstone/power1,4/27/2023,0:01:26,1.37,2023-04-27 00:01:26
170918,meduk2/capstone/power1,4/27/2023,0:01:27,1.35,2023-04-27 00:01:27
170919,meduk2/capstone/power1,4/27/2023,0:01:28,1.31,2023-04-27 00:01:28
170920,meduk2/capstone/power1,4/27/2023,0:01:29,1.1,2023-04-27 00:01:29
170921,meduk2/capstone/power1,4/27/2023,0:01:30,1.19,2023-04-27 00:01:30
170922,meduk2/capstone/power1,4/27/2023,0:01:32,1.22,2023-04-27 00:01:32
170923,meduk2/capstone/power1,4/27/2023,0:01:33,1.21,2023-04-27 00:01:33
170924,meduk2/capstone/power1,4/27/2023,0:01:34,1.16,2023-04-27 00:01:34
170925,meduk2/capstone/power1,4/27/2023,0:01:35,1.28,2023-04-27 00:01:35
170926,meduk2/capstone/power1,4/27/2023,0:01:36,1.15,2023-04-27 00:01:36
170927,meduk2/capstone/power1,4/27/2023,0:01:37,1.2,2023-04-27 00:01:37
170928,meduk2/capstone/power1,4/27/2023,0:01:38,1.14,2023-04-27 00:01:38
170929,meduk2/capstone/power1,4/27/2023,0:01:39,1.12,2023-04-27 00:01:39
170930,meduk2/capstone/power1,4/27/2023,0:01:41,1.15,2023-04-27 00:01:41
